布莱塞.马图伊迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=37971,180cm,75kg,法国,1987-04-09,中场
萨米.赫迪拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=39816,189cm,90kg,德国,1987-04-04,中场
米拉勒姆.皮亚尼奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=46696,178cm,72kg,波黑,1990-04-02,中场
道格拉斯.科斯塔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=57195,172cm,70kg,巴西,1990-09-14,
马罗内,http://soccer.stats.qq.com/player.htm?type=yijia&t1=60017,186cm,75kg,意大利,1990-03-28,
胡安.夸德拉多,http://soccer.stats.qq.com/player.htm?type=yijia&t1=66733,179cm,72kg,哥伦比亚,1988-05-26,中场
斯图拉罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=94751,181cm,80kg,Italy,1993-03-09,中场
马尔科.普雅察,http://soccer.stats.qq.com/player.htm?type=yijia&t1=102228,186cm,83kg,克罗地亚,1995-05-06,前锋
埃姆雷·詹,http://soccer.stats.qq.com/player.htm?type=yijia&t1=112338,184cm,82kg,德国,1994-01-12,后卫
克里斯蒂亚诺.罗纳尔多,http://soccer.stats.qq.com/player.htm?type=yijia&t1=14937,187cm,83kg,葡萄牙,1985-02-05,前锋
冈萨洛.伊瓜因,http://soccer.stats.qq.com/player.htm?type=yijia&t1=40232,186cm,89kg,阿根廷,1987-12-10,前锋
马里奥·曼朱基奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=46197,190cm,85kg,克罗地亚,1986-05-21,前锋
迪巴拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=120638,177cm,75kg,阿根廷,1993-11-15,
贝尔纳代斯基,http://soccer.stats.qq.com/player.htm?type=yijia&t1=147297,185cm,77kg,意大利,1994-02-16,中场
阿尔帕托·塞里,http://soccer.stats.qq.com/player.htm?type=yijia&t1=156707,194cm,91kg,意大利,1996-04-16,
安德烈·法维利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=201652,190cm,78kg,,1997-05-17,
安德烈亚.巴尔扎利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=17172,187cm,87kg,意大利,1981-05-08,后卫
乔尔吉奥.基耶里尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=18102,187cm,85kg,意大利,1984-08-14,后卫
莱昂纳多.博努奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=28277,190cm,85kg,意大利,1987-05-01,后卫
马丁.卡塞雷斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=43693,180cm,78kg,乌拉圭,1987-04-07,后卫
阿莱克斯·桑德罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=53693,180cm,80kg,Brazil,1991-01-26,
莱昂纳多·斯皮纳佐拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=84161,186cm,75kg,意大利,1993-03-25,
马蒂亚·德西利奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=107013,182cm,78kg,Italy,1992-10-20,后卫
若,http://soccer.stats.qq.com/player.htm?type=yijia&t1=121145,182cm,74kg,Portugal,1994-05-27,
丹尼尔-鲁加尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=150710,190cm,84kg,意大利,1994-07-29,后卫
沃伊切赫.什泽斯尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=59936,195cm,90kg,波兰,1990-04-18,门将
马蒂亚.佩林,http://soccer.stats.qq.com/player.htm?type=yijia&t1=87995,188cm,85kg,意大利,1992-11-10,门将
劳伦.布拉内斯库,http://soccer.stats.qq.com/player.htm?type=yijia&t1=128349,193cm,86kg,罗马尼亚,1994-03-30,
埃米尔.奥代罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=193509,190cm,83kg,意大利,1997-01-18,
德尔法维罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=210684,189cm,86kg,,1998-06-05,
阿兰·马克斯·洛雷罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=119765,173cm,73kg,巴西,1991-01-08,
彼得·杰林斯基,http://soccer.stats.qq.com/player.htm?type=yijia&t1=126440,180cm,75kg,波兰,1994-05-20,中场
罗格,http://soccer.stats.qq.com/player.htm?type=yijia&t1=195303,180cm,73kg,,1995-07-19,中场
阿尔贝托.格拉西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=195516,183cm,75kg,意大利,1995-03-07,
何塞.卡列洪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=51732,178cm,73kg,西班牙,1987-02-11,
德利斯-梅尔滕斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=54917,169cm,61kg,比利时,1987-05-06,中场
洛伦佐-因西涅,http://soccer.stats.qq.com/player.htm?type=yijia&t1=75592,163cm,59kg,意大利,1991-06-04,前锋
维尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=78819,171cm,62kg,意大利,1992-07-12,
阿卡迪乌什·米利克,http://soccer.stats.qq.com/player.htm?type=yijia&t1=103076,186cm,78kg,波兰,1994-02-28,前锋
阿明·尤尼斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=113529,168cm,67kg,德国,1993-08-06,
