梅苏特.厄齐尔,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=37605,180cm,76kg,德国,1988-10-15,中场
亨里克.姆希塔良,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=57249,177cm,75kg,亚美尼亚,1989-01-21,
格拉尼特.扎卡,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=84450,185cm,82kg,瑞士,1992-09-27,中场
阿莱克斯-伊沃比,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=153133,180cm,75kg,英格兰,1996-05-03,
默罕默德·埃尔内尼,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=153256,180cm,73kg,埃及,1992-07-11,
艾斯利·梅特兰-尼尔斯,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=154043,177cm,71kg,英格兰,1997-08-29,
乔.威尔洛克,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=200089,179cm,71kg,,1999-08-20,
皮埃尔.奥巴梅扬,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=54694,187cm,80kg,加蓬,1989-06-18,
亚历山大.拉卡泽特,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=59966,175cm,73kg,法国,1991-05-28,
恩凯蒂亚,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=205533,175cm,72kg,,1999-05-30,
纳乔.蒙里亚尔,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=38411,179cm,72kg,西班牙,1986-02-26,后卫
苏格拉底.帕帕斯塔佐保罗斯,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=39476,186cm,85kg,希腊,1988-06-09,后卫
劳伦特.科斯切尔尼,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=51507,186cm,75kg,法国,1985-09-10,后卫
穆斯塔菲,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=69140,184cm,82kg,德国,1992-04-17,后卫
卡尔·詹金森,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=80254,185cm,77kg,芬兰,1992-02-08,
贝莱林,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=98745,178cm,74kg,Spain,1995-03-19,后卫
卡鲁姆·钱伯斯,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=101184,182cm,66kg,英格兰,1995-01-20,
塞亚德·科拉希纳茨,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=111457,183cm,85kg,德国,1993-06-20,后卫
罗伯-霍尔丁,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=156074,189cm,75kg,,1995-09-20,
贝恩德·莱诺,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=80201,190cm,83kg,德国,1992-03-04,门将
马丁斯,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=98980,195cm,88kg,阿根廷,1992-09-02,
伊利耶夫,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=153122,195cm,87kg,马其顿,1995-02-25,
比亚尔纳松,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=27770,182cm,75kg,Iceland,1988-05-27,中场
兰斯布里 ,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=40564,183cm,85kg,英格兰,1990-10-12,
霍塔,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=89274,180cm,70kg,西班牙,1991-06-16,
杰克-格里利什,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=114283,178cm,68kg,爱尔兰,1995-09-10,
加齐,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=193488,189cm,90kg,荷兰,1995-05-03,
艾哈迈德.穆罕迈迪,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=37339,183cm,75kg,埃及,1987-09-09,
詹姆斯-切斯特,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=43252,177cm,75kg,英格兰,1989-01-23,后卫
泰勒,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=47390,175cm,65kg,威尔士,1989-02-07,后卫
泰隆-明斯,http://soccer.stats.qq.com/player.htm?type=yingchao&t1=149484,191cm,77kg,England,1993-03-13,
